#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#St, _2MASS, Rmag, Kmag, pmRA, pmDE, SpT1, mbol, DMph, DMkin, RV, vsini, SpT, EWHa, EWLi, Mm, u_Mm, n_Mm, f_Mm, Opt, Denis, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, float, float, float, string, float, float, float, float, float, string, float, float, string, string, string, string, float, float, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
St,_2MASS,Rmag,Kmag,pmRA,pmDE,SpT1,mbol,DMph,DMkin,RV,vsini,SpT,EWHa,EWLi,Mm,u_Mm,n_Mm,f_Mm,Opt,Denis,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA_,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag_,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag_,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'C',b'00144767-6003477',13,8.82999992370605,91.3000030517578,-63.0999984741211,b'M3.5',11.5,2,3.09999990463257,5.09999990463257,29.7999992370605,b'M3.6',-3.52999997138977,18.8999996185303,b'Y',b'',b'RV',b'',2,1,3.69862,-60.06325,3.69862,-60.06325,425933644,3.69863,-60.06325,91.5156,-59.8644,11.354,STAR,2mass,0.0179655721956226,20180610,,,150-000263,00144767-6003477,,J001447.80-600348.3,4905813212878537216,29728519,,tmgaia,4.51584,4.51584,hsoy,NaN,NaN,,311.202384,-56.472725,327.671799,-53.888748,15.597,0.023,14.271,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.708,0.021,9.102,0.024,8.834,0.019,AAA-222-111-000-0-0,59.1,8.695,0.022,8.507,0.02,8.362,0.021,8.169,0.25,12.4925,0.000435974,0.017,gaiaj,,3176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0122231,NaN,17,0.08440689,,,NaN
b'C',b'02000918-8025009',10,8.02000045776367,77.6999969482422,6.69999980926514,b'K4.0',10.1599998474121,3.60999989509583,3.70000004768372,15.5,4.80000019073486,b'K3.7',0.529999971389771,126.800003051758,b'Y',b'',b'Li',b'',2,3,30.03825,-80.41692,30.03825,-80.41692,273789976,30.038255,-80.416925,76.3197,4.13947,9.539,STAR,2mass,0.018247728170112,20180610,,9357-01011-1,048-001161,02000918-8025009,,J020009.49-802500.9,4632037875578332416,35210384,,tmgaia,0.799769,0.918575,tgas,13.6353,0.269488,tgas,299.436797,-36.240345,294.532202,-69.689871,11.555,0.1,10.602,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.686,0.024,8.175,0.047,8.019,0.027,AAA-111-111-000-0-0,32.6,7.932,0.027,7.995,0.02,7.933,0.019,8.09,0.173,10.1679,0.000345996,0.018,gaiaj,tplx,4737,177,4.28289,0.214149,NaN,NaN,1.0167,0.148832,0.759952,0.0900287,1.5656,0.558068,GIANT,0.280185,0.06658243,73.33891,1.42137,0.0917438,NaN,0,NaN,,,NaN
b'K',b'00345120-6154583',8.80000019073486,6.53000020980835,86,-50.7999992370605,b'K5.8',8.75,1.89999997615814,3.29999995231628,10.6999998092651,68.8000030517578,b'K4.6',-1.07000005245209,375,b'Y',b'',b'Li',b'',2,1,8.71333,-61.91619,8.71333,-61.91619,425940082,8.713327,-61.916195,88.806,-52.8312,8.297,STAR,2mass,0.0187042629771608,20180610,2729,8841-00652-1,141-000527,00345120-6154583,,J003451.32-615458.7,4901802503697737984,29733971,,tmgaia,0.0790138,0.0777976,tgas,22.7043,0.244301,tgas,306.342597,-55.102092,328.46802,-56.911219,10.756,0.046,9.56,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.337,0.018,6.721,0.034,6.533,0.018,AAA-111-111-000-0-0,20.7,6.458,0.087,6.378,0.023,6.406,0.015,6.238,0.054,9.00191,0.000345996,0.017,gaiaj,tplx,4376,10,NaN,NaN,NaN,NaN,1.207,0.105875,0.669325,0.0782712,1.87962,0.534982,GIANT,0.1684256,0.03195838,44.04446,0.468877,0.013873,NaN,0,NaN,,,NaN
b'C',b'00425349-6117384',15.1999998092651,10.4499998092651,89,-55.2000007629395,b'M4.5',13.1899995803833,2.73000001907349,3.20000004768372,6.90000009536743,7.09999990463257,b'M4.2',-6.75,79.3000030517578,b'Y',b'',b'RV',b'',2,1,10.72287,-61.294,10.72287,-61.294,234497476,10.72288,-61.294003,NaN,NaN,13.125,STAR,2mass,0.0203870263872734,20180610,,,144-000662,00425349-6117384,,J004253.63-611739.0,4903337250131721728,29736579,,tmgaia,NaN,NaN,,NaN,NaN,,304.757772,-55.803938,330.509941,-57.168419,17.972,0.162,16.719,0.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.289,0.022,10.728,0.021,10.455,0.019,AAA-222-111-000-0-0,8.1,10.252,0.023,10.049,0.021,9.864,0.05,8.651,NaN,14.3688,0.00109319,0.017,gaiaj,,2951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0112397,NaN,13,0.008182394,,,NaN
b'C',b'23283419-5136527',11.6999998092651,9.18000030517578,48.7000007629395,-41.5999984741211,b'K7.2',11.4300003051758,4.40000009536743,4.40000009536743,9.5,4.30000019073486,b'K4.9',0.259999990463257,16.7999992370605,b'N',b'?',b'RV',b'',3,0,352.14246,-51.61464,352.14246,-51.61464,402045342,352.142469,-51.614641,50.287,-46.2197,11.003,STAR,2mass,0.0204382497914945,20180610,,,192-200127,23283419-5136527,,J232834.24-513653.2,6501673320331918464,25159486,,tmgaia,1.15309,1.15312,hsoy,NaN,NaN,,329.842158,-60.965282,327.645306,-43.26731,13.611,0.014,12.349,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.004,0.027,9.338,0.027,9.18,0.019,AAA-222-111-000-0-0,62.1,9.096,0.023,9.108,0.021,8.984,0.03,9.105,0.429,11.7345,0.000345996,0.019,gaiaj,,4163,172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,76.2774,NaN,0.00983762,NaN,12,0.01886988,,,NaN
b'K',b'21443012-6058389',10.6999998092651,7.86999988555908,40.2999992370605,-94.9000015258789,b'M0.0',10.3100004196167,2.71000003814697,3.40000009536743,3.29999995231628,5.90000009536743,b'K7.2',-1.48000001907349,21.6000003814697,b'Y',b'',b'RV',b'',2,2,326.1255,-60.97747,326.1255,-60.97747,406277015,326.125494,-60.977476,41.5053,-93.4792,9.943,STAR,2mass,0.024007832819933,20180610,107345,9116-01363-1,146-233020,21443012-6058389,,J214430.18-605839.8,6409848122134268160,31751383,,tmgaia,0.124421,0.109857,tgas,21.5188,0.302951,tgas,332.345994,-44.000304,304.055867,-44.00403,12.971,0.031,11.72,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.751,0.026,8.087,0.023,7.874,0.026,AAA-111-111-000-0-0,14.5,7.783,0.027,7.756,0.02,7.668,0.02,7.558,0.118,10.8031,0.000345996,0.018,gaiaj,splin,3843,18,NaN,NaN,NaN,NaN,0.600925,0.0746359,0.5907622,0.079774,2.72241,1.01438,GIANT,0.07096042,0.01762682,46.47107,0.645157,0.0354854,NaN,0,NaN,,,NaN
b'C',b'22545651-7646072',10.6000003814697,8.11999988555908,40.5,-43.4000015258789,b'K5.1',10.3000001907349,3.59999990463257,4.40000009536743,23.8999996185303,3.90000009536743,b'K2.7',0.949999988079071,-7.19999980926514,b'N',b'',b'Li',b'',2,0,343.73546,-76.76867,343.73546,-76.76867,421950311,343.735461,-76.768677,42.3136,-43.8225,9.699,STAR,2mass,0.0252134674361496,20180610,,9476-00305-1,067-034048,22545651-7646072,,J225456.61-764607.7,6354359343693195520,35105010,,tmgaia,1.12833,1.06875,tgas,3.48886,0.210169,tgas,311.109551,-38.449738,296.225643,-60.184093,11.862,0.145,11.061,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.811,0.029,8.242,0.044,8.124,0.036,AAA-111-111-000-0-0,16.8,8.059,0.023,8.163,0.02,8.06,0.02,7.975,0.176,10.353,0.000345996,0.019,gaiaj,tplx,4532,175,2.91357,0.455604,NaN,NaN,3.96145,0.733813,0.713339,0.0853459,1.74143,0.588348,GIANT,0.209627,0.04721539,286.6264,16.2854,0.106457,NaN,0,NaN,,,NaN
b'C',b'20423672-5425263',14.1999998092651,9.85999965667725,28.2999992370605,-96.5,b'M3.9',12.5699996948242,2.73000001907349,3.40000009536743,-1.39999997615814,13.5,b'M4.0',-5.69000005722046,67.8000030517578,b'Y',b'',b'RV',b'',2,1,310.653,-54.42397,310.653,-54.42397,394417221,310.653007,-54.423964,15.6143,-97.362,12.496,STAR,2mass,0.0261056079203669,20180610,,,178-227438,20423672-5425263,,J204236.74-542527.2,6470742477694855040,25482614,,tmgaia,3.89952,3.89952,hsoy,NaN,NaN,,343.546122,-37.756399,297.487046,-34.796094,16.986,0.053,15.668,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.748,0.023,10.163,0.026,9.862,0.025,AAA-222-111-000-0-0,14.9,9.709,0.023,9.484,0.02,9.289,0.031,8.238,NaN,13.6912,0.000776068,0.017,gaiaj,,3098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0467303,NaN,37,0.05276316,,,NaN
b'C',b'23334224-4913495',14.6999998092651,10.5200004577637,53.2999992370605,-36.5,b'M2.9',13.1599998474121,4.1399998664856,4.40000009536743,14.8999996185303,4.40000009536743,b'M1.9',-0.889999985694885,-22.7000007629395,b'N',b'',b'H{alpha}',b'3',2,0,353.426,-49.23042,353.426,-49.23042,206288561,353.426011,-49.230419,NaN,NaN,12.937,STAR,2mass,0.0261089189640985,20180610,,,204-184521,23334224-4913495,,J233342.29-491349.8,,24613489,,2mass,NaN,NaN,,NaN,NaN,,331.853817,-63.304126,330.312026,-41.690697,16.732,0.123,15.247,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.371,0.022,10.783,0.024,10.521,0.021,AAA-222-111-000-0-0,60.8,10.406,0.023,10.255,0.02,9.999,0.053,8.584,NaN,NaN,NaN,0.038,vjk,,3402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0122953,NaN,17,0.003193133,,,NaN
b'C',b'01504543-5716488',16.2999992370605,11.2799997329712,93.1999969482422,-37,b'M4.9',14.0900001525879,3.19000005722046,3.20000004768372,9.30000019073486,9.69999980926514,b'M5.5',-9.46000003814697,673.200012207031,b'Y',b'',b'Li',b'',1,0,27.68929,-57.28022,27.68929,-57.28022,231020924,27.6893,-57.280225,97.2011,-26.9882,14.197,STAR,2mass,0.0265076755559011,20180610,,,,01504543-5716488,,J015045.56-571649.1,4718894483809877760,,,tmgaia,3.94369,3.94369,hsoy,NaN,NaN,,287.768818,-58.067518,347.716494,-60.669709,19.617,0.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.161,0.024,11.557,0.023,11.281,0.023,AAA-222-111-000-0-0,62.6,11.038,0.023,10.795,0.02,10.549,0.074,8.672,NaN,15.5467,0.00210309,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0230799,NaN,0,NaN,,,NaN
b'C',b'23273447-8512364',14.5,10.0100002288818,60.5999984741211,-50.7999992370605,b'M4.0',12.6899995803833,2.76999998092651,3.70000004768372,11.6999998092651,7.30000019073486,b'M3.8',-8.77000045776367,16.5,b'Y',b'',b'RV',b'',2,6,351.89362,-85.21011,351.89362,-85.21011,401820403,351.893609,-85.210118,68.9976,-48.9618,12.596,STAR,2mass,0.0289892067849758,20180610,,,024-010438,23273447-8512364,,J232735.01-851236.9,6343579113219529984,35398206,,tmgaia,3.50361,3.5036,hsoy,NaN,NaN,,304.941937,-31.586608,281.476156,-65.449326,17.157,NaN,15.721,0.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.85,0.022,10.276,0.025,10.014,0.023,AAA-222-111-000-0-0,36.2,9.852,0.023,9.644,0.02,9.499,0.034,8.76,0.301,13.7912,0.000815496,0.017,gaiaj,,3103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.1052,NaN,43,0.01931159,,,NaN
b'C',b'22463471-7353504',12.8000001907349,8.8100004196167,59.2999992370605,-68.1999969482422,b'M3.2',11.460000038147,2.20000004768372,3.59999990463257,9.10000038146973,10.5,b'M2.3',-4.26000022888184,15.8000001907349,b'Y',b'',b'RV',b'',2,3,341.64462,-73.89733,341.64462,-73.89733,273416539,341.644649,-73.897333,54.8471,-67.3092,11.123,STAR,2mass,0.0309048305694767,20180610,,,081-056276,22463471-7353504,,J224634.84-735351.1,6381776456405517952,34524666,,tmgaia,3.99431,3.99431,hsoy,NaN,NaN,,313.825201,-40.481645,299.658162,-57.859136,14.909,0.039,13.579,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.664,0.024,9.049,0.027,8.81,0.023,AAA-222-111-000-0-0,18.4,8.683,0.022,8.546,0.02,8.416,0.021,8.624,0.322,12.1512,0.000371365,0.018,gaiaj,,3419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0327041,NaN,32,0.01248369,,,NaN
b'C',b'01245895-7953375',9.19999980926514,7.1399998664856,74.8000030517578,-20.6000003814697,b'K3.8',9.25,2.75,3.70000004768372,170.699996948242,4.80000019073486,b'F9.5',1.23000001907349,25.2999992370605,b'N',b'',b'Li',b'',2,4,21.24562,-79.89375,21.24562,-79.89375,261677560,21.245664,-79.893754,72.4692,-24.1488,8.715,STAR,2mass,0.0313037904298909,20180610,6618,9356-01770-1,051-000868,01245895-7953375,,J012459.21-795337.6,4631609512720386560,34562839,,tmgaia,0.0966339,0.103583,tgas,0.812441,0.255232,tgas,301.092815,-37.114422,296.139169,-68.208291,10.788,0.016,9.79,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.823,0.03,7.256,0.04,7.136,0.029,AAA-111-111-000-0-0,23.1,6.978,0.037,7.09,0.02,7.022,0.017,6.853,0.067,9.37311,0.000345996,0.019,gaiaj,splin,4624.6,75,1.16,0.15,-1.71,0.14,0.761313,0.085204,0.7333878,0.0837477,NaN,NaN,GIANT,NaN,NaN,1230.859,294.243,0.0709888,NaN,0,NaN,,,NaN
b'C',b'01521830-5950168',11.6999998092651,8.14000034332275,107.800003051758,-27,b'M1.6',10.6599998474121,2.41000008583069,3,10.3000001907349,5,b'M1.6',-3.01999998092651,-12.3000001907349,b'Y',b'',b'RV',b'',2,1,28.07625,-59.838,28.07625,-59.838,231022874,28.076268,-59.838002,103.169,-26.023,10.331,STAR,2mass,0.033345142940531,20180610,,,151-001660,01521830-5950168,,J015218.45-595017.0,4717559779772987520,27163641,,tmgaia,5.68886,5.68886,hsoy,NaN,NaN,,289.410678,-55.663671,344.01908,-62.539232,13.997,0.036,12.655,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.941,0.019,8.329,0.04,8.138,0.029,AAA-111-111-000-0-0,53.6,7.963,0.025,7.878,0.02,7.779,0.017,7.646,0.091,11.3178,0.000345996,0.017,gaiaj,,3482,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0208826,NaN,0,NaN,,,NaN
b'C',b'03210395-6816475',13.3999996185303,9.30000019073486,70.3000030517578,20.3999996185303,b'M3.4',12.039999961853,2.61999988555908,3.70000004768372,13.3999996185303,9.5,b'M4.0',-6.82999992370605,5.59999990463257,b'Y',b'',b'RV',b'',2,2,50.26646,-68.27986,50.26646,-68.27986,31780319,50.266468,-68.279869,NaN,NaN,11.848,STAR,2mass,0.0341079947941733,20180610,,,109-002689,03210395-6816475,,J032104.10-681647.4,4670526280109460224,33086335,,tmmgaia,NaN,NaN,,NaN,NaN,,284.952979,-43.254067,335.375963,-74.916786,16.158,0.129,14.808,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.356,0.039,9.749,0.045,9.295,0.023,AAE-222-111-000-0-0,22.7,9.07,0.023,8.876,0.02,8.777,0.023,8.696,0.275,12.8963,0.0005,0.021,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0441754,NaN,0,NaN,,,NaN
b'C',b'23143165-5357285',10.1999998092651,7.96999979019165,48.7999992370605,-57.0999984741211,b'K5.1',10.1700000762939,3.47000002861023,4.09999990463257,14.6000003814697,4,b'K4.9',0.649999976158142,9.30000019073486,b'N',b'',b'Ha',b'',2,0,348.63187,-53.95792,348.63187,-53.95792,197962036,348.631886,-53.957922,49.4491,-55.9615,9.71767,STAR,2mass,0.0346470172694731,20180610,114736,8831-00523-1,181-221019,23143165-5357285,,J231431.71-535729.1,6500397027849937280,26933835,,tmgaia,0.134986,0.174685,tgas,23.6565,0.232792,tgas,329.878193,-57.804006,323.42261,-44.085381,12.274,0.024,11.01,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.732,0.02,8.125,0.04,7.967,0.02,AAA-111-111-000-0-0,5.7,7.871,0.026,7.921,0.019,7.851,0.019,7.759,0.157,10.4401,0.000345996,0.0170731,gaiaj,tplx,4266,173,4.63351,0.384013,NaN,NaN,0.652365,0.119335,0.666908,0.0778229,2.40212,1.31823,GIANT,0.126987,0.04645865,NaN,NaN,0.0113914,NaN,25,0.006068768,,,0.005550354
b'C',b'01125587-7130283',11.1000003814697,8.36999988555908,76.5999984741211,-30.7000007629395,b'K7.7',10.7200002670288,3.32999992370605,3.59999990463257,12.8999996185303,4.5,b'K7.3',0.529999971389771,-6.80000019073486,b'N',b'',b'H{alpha}',b'',1,1,18.23279,-71.50786,18.23279,-71.50786,52152653,18.232814,-71.507866,NaN,NaN,10.47,STAR,2mass,0.0348931585631693,20180610,,,093-002060,01125587-7130283,,J011255.77-713027.5,,33507204,,2mass,NaN,NaN,,NaN,NaN,,300.502408,-45.518859,316.468514,-65.447953,13.182,0.006,12.001,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.281,0.045,8.445,0.047,8.373,0.034,EAE-212-111-000-0-0,4.4,7.689,0.026,7.755,0.019,7.772,0.017,7.782,0.157,NaN,NaN,0.051,vjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0353231,NaN,0,NaN,,,NaN
b'C',b'02001277-0840516',11.6999998092651,7.86999988555908,110,-65.6999969482422,b'M2.0',10.460000038147,2.01999998092651,2.90000009536743,4.5,8.89999961853027,b'M2.1',-3.97000002861023,-5.30000019073486,b'Y',b'',b'RV',b'',2,1,30.05321,-8.681,30.05321,-8.681,25001358,30.0532,-8.681,115.19,-74.67,10.164,STAR,2mass,0.0355875837488972,20180610,,,407-002260,02001277-0840516,,J020012.85-084052.5,2463211714745836288,2884345,,tmgaia,2,2,sblink,NaN,NaN,,167.535638,-65.408539,24.734502,-19.59714,13.886,0.075,12.431,0.063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.766,0.024,8.139,0.04,7.868,0.02,AAA-212-111-000-0-0,84.4,7.771,0.028,7.682,0.021,7.585,0.018,7.542,0.142,11.2482,0.000345996,0.05,cdwrf,cdwrf,3533,67,4.84986,0.374983,NaN,NaN,0.405,0.065,0.423,0.082,6.36759,3.06588,DWARF,0.02302392,0.007390395,39.41622,NaN,0.0240567,NaN,7,0.0008973827,,,0.006953605
b'C',b'04470041-5134405',12.8000001907349,9.21000003814697,54.9000015258789,14.3999996185303,b'M2.4',11.8100004196167,3.10999989509583,3.70000004768372,19.8999996185303,5.09999990463257,b'M1.9',-2.64000010490417,7.5,b'Y',b'',b'RV',b'',2,1,71.75171,-51.57792,71.75171,-51.57792,259542669,71.751726,-51.577922,56.0801,18.5392,11.522,STAR,2mass,0.0365124382212547,20180610,,,193-004948,04470041-5134405,,J044700.48-513440.3,4784113321681080960,25529053,,tmgaia,3.74522,3.74522,hsoy,NaN,NaN,,258.925309,-40.0153,49.748284,-72.472321,15.274,0.024,13.907,0.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.062,0.022,9.433,0.026,9.207,0.021,AAA-222-111-000-0-0,29,9.107,0.022,8.976,0.02,8.841,0.022,9.038,0.334,12.5508,0.000448132,0.017,gaiaj,,3412,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.00934452,NaN,0,NaN,,,NaN
b'C',b'23130558-6127077',14.6000003814697,10.0500001907349,68.8000030517578,-72.0999984741211,b'M4.6',12.8400001525879,2.26999998092651,3.40000009536743,2.90000009536743,25.7999992370605,b'M4.5',-7.59000015258789,185.300003051758,b'Y',b'',b'Li',b'',3,1,348.27325,-61.45214,348.27325,-61.45214,237339854,348.273264,-61.452148,NaN,NaN,13.058,STAR,2mass,0.0375441764590648,20180610,,,143-218131,23130558-6127077,,J231305.66-612708.5,,31783549,,2mass,NaN,NaN,,NaN,NaN,,321.745119,-51.934106,316.857022,-50.111812,17.671,0.162,16.435,0.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.932,0.021,10.373,0.025,10.05,0.023,AAA-222-111-000-0-0,50.7,9.862,0.023,9.652,0.021,9.444,0.035,8.492,NaN,NaN,NaN,0.046,vjk,,2923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0184784,NaN,33,0.00665331,,,NaN
b'C',b'00421010-5444431',12.8999996185303,8.93000030517578,89.4000015258789,-47.9000015258789,b'M3.0',11.5900001525879,2.5,3.29999995231628,5.90000009536743,6.69999980926514,b'M2.9',-6.26000022888184,-31,b'Y',b'',b'RV',b'',2,1,10.54208,-54.74531,10.54208,-54.74531,281670243,10.542098,-54.745311,92.7918,-56.732,11.384,STAR,2mass,0.0375761865990361,20180610,,,177-000667,00421010-5444431,,J004210.21-544443.7,4920732795392840192,25162751,,tmgaia,4.42818,4.42822,hsoy,NaN,NaN,,305.812904,-62.331056,338.116492,-52.299491,15.495,0.065,14.291,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.814,0.024,9.208,0.024,8.932,0.023,AAA-222-111-000-0-0,33.9,8.794,0.022,8.631,0.02,8.489,0.023,8.307,0.248,12.4776,0.000432919,0.017,gaiaj,,3202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0162358,NaN,14,0.01943313,,,NaN
b'K',b'02423301-5739367',10.1999998092651,7.78000020980835,83.8000030517578,-8.80000019073486,b'K7.1',10.0100002288818,3.04999995231628,3.40000009536743,12.1999998092651,4.80000019073486,b'K5.0',-0.680000007152557,130.199996948242,b'Y',b'',b'Li',b'',2,2,40.63754,-57.66019,40.63754,-57.66019,201919099,40.637553,-57.660198,84.9466,-9.24272,9.6,STAR,2mass,0.0381601831662524,20180610,,8497-00995-1,162-002381,02423301-5739367,,J024233.13-573936.9,4726518497436239232,27179741,,tmgaia,0.766907,0.825284,tgas,20.624,0.337115,tgas,277.99282,-53.753542,357.68145,-66.029359,12.05,0.156,10.866,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.564,0.024,7.965,0.036,7.784,0.024,AAA-111-111-000-0-0,34.1,7.69,0.031,7.747,0.02,7.646,0.018,7.691,0.135,10.3561,0.000345996,0.018,gaiaj,tplx,4267,173,4.39522,0.23654,NaN,NaN,0.816045,0.14943,0.667059,0.0778504,1.98578,0.579986,GIANT,0.1443246,0.02810189,48.48722,0.779815,0.0263043,NaN,0,NaN,,,NaN
